Timestamp,RSSI_Value_dBm
15:56:30.3710,-61
15:56:30.4150,-65
15:56:30.4570,-64
15:56:30.5090,-62
15:56:30.5480,-67
15:56:30.5930,-65
15:56:30.7370,-59
15:56:30.7810,-66
15:56:30.8300,-70
15:56:30.9180,-62
15:56:30.9640,-67
15:56:31.0100,-71
15:56:31.1140,-67
15:56:31.1440,-75
15:56:31.1910,-61
15:56:31.2340,-67
15:56:31.2820,-61
15:56:31.3270,-65
15:56:31.3710,-75
15:56:31.4600,-65
15:56:31.5040,-66
15:56:31.5490,-74
15:56:31.6390,-66
15:56:31.7290,-65
15:56:31.7750,-65
15:56:31.8170,-74
15:56:31.9120,-65
15:56:31.9530,-80
15:56:31.9540,-62
15:56:31.9990,-66
15:56:32.0990,-61
15:56:32.1300,-65
15:56:32.1770,-76
15:56:32.2170,-61
15:56:32.2990,-81
15:56:32.3480,-61
15:56:32.3910,-65
15:56:32.4320,-81
15:56:32.4810,-65
15:56:32.5280,-87
15:56:32.6650,-88
15:56:32.7090,-61
15:56:32.7540,-76
15:56:32.8500,-61
15:56:32.8970,-65
15:56:32.9460,-77
15:56:32.9860,-62
15:56:33.0300,-65
15:56:33.0740,-77
15:56:33.1120,-74
15:56:33.1560,-64
15:56:33.1560,-62
15:56:33.3330,-61
15:56:33.3790,-65
15:56:33.4710,-62
15:56:33.5150,-65
15:56:33.6110,-66
15:56:33.6540,-78
15:56:33.7000,-62
15:56:33.7350,-65
15:56:33.7780,-89
15:56:33.8260,-61
15:56:33.9080,-79
15:56:33.9530,-62
15:56:34.0920,-62
15:56:34.1320,-65
15:56:34.1760,-76
15:56:34.2220,-63
15:56:34.3600,-64
15:56:34.5850,-61
15:56:34.6270,-65
15:56:34.6700,-75
15:56:34.7610,-64
15:56:34.8490,-64
15:56:34.9410,-62
15:56:34.9890,-65
15:56:35.0380,-75
15:56:35.0380,-76
15:56:35.1690,-61
15:56:35.2190,-64
15:56:35.2610,-71
15:56:35.3520,-61
15:56:35.3950,-64
15:56:35.4390,-69
15:56:35.5710,-62
15:56:35.7020,-63
15:56:35.7440,-64
15:56:35.7940,-64
15:56:35.9350,-61
15:56:35.9820,-63
15:56:36.0300,-62
15:56:36.0950,-62
15:56:36.0950,-56
15:56:36.1180,-61
15:56:36.2110,-63
15:56:36.2560,-63
15:56:36.3010,-57
15:56:36.3430,-67
15:56:36.4330,-58
15:56:36.4780,-68
15:56:36.6130,-68
15:56:36.6550,-67
15:56:36.6970,-58
15:56:36.7880,-66
15:56:36.8290,-58
15:56:36.8790,-59
15:56:36.9710,-71
15:56:37.0140,-66
15:56:37.0610,-58
15:56:37.1070,-69
15:56:37.1510,-67
15:56:37.1930,-58
15:56:37.2360,-69
15:56:37.2800,-71
15:56:37.3300,-71
15:56:37.3760,-67
15:56:37.4650,-70
15:56:37.5070,-67
15:56:37.5530,-58
15:56:37.5940,-69
15:56:37.5950,-59
15:56:37.6340,-69
15:56:37.6740,-67
15:56:37.7740,-58
15:56:37.8160,-70
15:56:37.9040,-62
15:56:37.9500,-58
15:56:37.9940,-72
15:56:38.2600,-65
15:56:38.3070,-58
15:56:38.3560,-69
15:56:38.3570,-70
15:56:38.3980,-65
15:56:38.5310,-57
15:56:38.5750,-70
15:56:38.6230,-65
15:56:38.6710,-57
15:56:38.7140,-71
15:56:38.7640,-66
15:56:38.8950,-57
15:56:38.9400,-68
15:56:38.9870,-65
15:56:39.0980,-68
15:56:39.0980,-69
15:56:39.2110,-73
15:56:39.2590,-65
15:56:39.3060,-57
15:56:39.3480,-72
15:56:39.3990,-59
15:56:39.4400,-72
15:56:39.4920,-65
15:56:39.6210,-65
15:56:39.6710,-57
15:56:39.7190,-70
15:56:39.7580,-66
15:56:39.8530,-66
15:56:39.9480,-71
15:56:39.9950,-65
15:56:40.0990,-65
15:56:40.1380,-58
15:56:40.1850,-70
15:56:40.2300,-67
15:56:40.2750,-57
15:56:40.3180,-70
15:56:40.3600,-66
15:56:40.3610,-58
15:56:40.3980,-71
15:56:40.3980,-57
15:56:40.4890,-66
15:56:40.5380,-57
15:56:40.6270,-69
15:56:40.6280,-67
15:56:40.6670,-58
15:56:40.7140,-68
15:56:40.7570,-68
15:56:40.8510,-66
15:56:40.8980,-58
15:56:40.9400,-68
15:56:40.9830,-66
15:56:41.0270,-59
15:56:41.0730,-84
15:56:41.1150,-80
15:56:41.1150,-69
15:56:41.1590,-69
15:56:41.1990,-63
15:56:41.2920,-73
15:56:41.3390,-72
15:56:41.3860,-61
15:56:41.4650,-70
